|activity_type|actor|actor_device_id|actor_displayname|actor_id|actor_objecttype|actor_system|actor_team|actor_url|added_date|change value1|criticality|derivedfrom|description|descriptor-tags|endtime|excerpt|excerpttagsurl|id|idverb|location|object_actor|object_address|object_datafields|object_descriptor-tags|object_descriptor_tags|object_displayname|object_id|object_object|object_objecttype|object_position|object_provider|object_published|object_title|object_url|object_verb|provenance_actor|provenance_relationship|provider_displayname|published|reason|reasonobject_object|starttime|status|subverb|system|system_id|tags|tagsurl|target_displayname|target_id|target_objecttype|target_url|time|timestamp|title|titleexcerpttagsurl|titleexcerpttagsurladded_date|url|value|value1|value1_type|value2|value2_type|value3|value3_type|value4|value4_type|value5|value5_type|value_type|verb
219|pocket|||||||||March 20, 2015 at 11:25PM|||||||PARIS -- The bodies of five babies, including four hidden in a freezer, were discovered in a house in southern France after a man told the police he had found the corpse of a baby in a cooler bag in his home, a senior police official said Friday.||||||||||||||||||||||||||||||||http://ift.tt/1BX4Hxi||||||Sat 21 Mar 2015 06:37:09 GMT +0|5 Babies Found Dead in French Village||||||||||||||||
220|pocket|||||||||March 21, 2015 at 12:03AM|||||||||||||||||||||||||||||||||||||||http://ift.tt/1AU2Whr||||||Sat 21 Mar 2015 07:08:12 GMT +0|Bill Maher's video quot;A cult is a cult, and that's what a frat isexcerpt=Bill Maher Comedian, TV Personality, Author Add 5h||||||||||||||||
221|pocket|||||||||March 21, 2015 at 09:11AM|||||||Contact Information Available for logged-in reporters only Citations Nutrients 2014Newswise -- SAN DIEGO, CA (March 16, 2015) - Researchers at UC San Diego and Creighton University have challenged the intake of vitamin D recommended by the National Academy of Sciences (NAS) Institute of Medicine||||||||||||||||||||||||||||||||http://ift.tt/1AVMbCJ||||||Sat 21 Mar 2015 16:23:21 GMT +0|Scientists Confirm Institute of Medicine Recommendation for Vitamin D Intake Was Miscalculated and Is Far Too Low||||||||||||||||
222|pocket|||||||||March 22, 2015 at 12:34AM|||||||||||||||||||||||||||||||||||||||||||||Sun 22 Mar 2015 07:45:04 GMT +0| quot;You Grow Up Wanting to be Luke Skywalker, Then Realize You've Become a Stormtrooper for the Empire= quot;excerpt=POWERFUL STORY: Read this shocking account of how U.S. Iraq War veterans had their 9/11 patriotism crushed amp; replaced with something far more alarming...tagsurl=http://ift.tt/1bhNaqZ||||||||||||||||
223|pocket|||||||||March 22, 2015 at 08:07PM|||||||The discovery of ancient cultures, and artifacts related to those cultures, often brings for new and surprising information about how our ancient ancestors once lived. Some cultures are discovered to have engaged in very unique practices.||||||||||||||||||||||||||||||||http://ift.tt/1HlB9dU||||||Mon 23 Mar 2015 03:28:06 GMT +0|The Cucuteni-Trypillian culture and the mysterious burning of the buildings||||||||||||||||
224|pocket|||||||||March 22, 2015 at 08:23PM|||||||The value of art has been at the center of many heated debates, probably ever since the first piece was sold, only being surpassed by the debate on the actual definition of art and what can be considered art.||||||||||||||||||||||||||||||||http://ift.tt/1Hhetv6||||||Mon 23 Mar 2015 03:29:08 GMT +0|Watch Art Connoisseurs Unknowingly Analyze a $10 Print from IKEA||||||||||||||||
225|pocket|||||||||March 22, 2015 at 08:26PM|||||||On Thursday night, employees at a Raleigh?s restaurant near North Carolina State University discovered a green notebook that had been left behind by members of the Pi Kappa Phi fraternity on campus.||||||||||||||||||||||||||||||||http://ift.tt/1HfJnEc||||||Mon 23 Mar 2015 03:29:09 GMT +0|Fraternity Suspended Over Notebook Detailing Rape And Lynching||||||||||||||||
226|pocket|||||||||March 22, 2015 at 08:27PM|||||||These 13 characters will kill your Chrome browser dead. Photo: VentureBeat If you?re on a Mac, and use Chrome, and if you?re not sure if you have Assyrian turned on, definitely don?t click this link.||||||||||||||||||||||||||||||||http://ift.tt/1HeSo0k||||||Mon 23 Mar 2015 03:29:09 GMT +0|This 13-character string will kill any Mac?s Chrome browser dead||||||||||||||||
227|pocket|||||||||March 22, 2015 at 08:45PM|||||||You may have heard how statistical wizard Nate Silver predicted the electoral votes for each state in the 2012 presidential election, showing that raw data crunching of polls is much more reliable than traditional punditry.||||||||||||||||||||||||||||||||http://ift.tt/11ZEktq||||||Mon 23 Mar 2015 03:55:44 GMT +0|The real story of how big data analytics helped Obama win||||||||||||||||
228|pocket|||||||||March 23, 2015 at 12:23AM|||||||One by one you get to experience the life of every person who has ever existed. Is it overall a good experience? (self.askphilosophy) For the sake of simplicity limit the question to Earthlings. Bonus points for texts that address this question.||||||||||||||||||||||||||||||||http://ift.tt/1CPsSkM||||||Mon 23 Mar 2015 07:24:42 GMT +0|One by one you get to experience the life of every person who has ever existed. Is it overall a good experience?||||||||||||||||
229|pocket|||||||||March 23, 2015 at 06:57AM|||||||AutoHotKey is pretty awesome and it's been featured a bunch over the years on Lifehacker. It's a great tool for automating repetitive tasks in Windows.||||||||||||||||||||||||||||||||http://ift.tt/1DPUlT0||||||Mon 23 Mar 2015 14:18:44 GMT +0|Switch Between Two Audio Devices In a Snap With AutoHotKey||||||||||||||||
230|pocket|||||||||March 23, 2015 at 09:46AM|||||||Call it amnesty. Call it common sense. Call it whatever you want, but Microsoft's decision to upgrade all Windows users in China to Windows 10, even if they're using pirated versions of Windows, is a clear sign that the operating system is dead.||||||||||||||||||||||||||||||||http://ift.tt/1GKyP00||||||Mon 23 Mar 2015 17:01:31 GMT +0|Microsoft gives up on charging for Windows in China||||||||||||||||
231|pocket|||||||||March 30, 2015 at 10:24AM|||||||An artist?s concept of the four-star system shows a gas giant orbiting its primary star (yellow), while the newfound red dwarf star (upper left) circles nearby. In the distance lie another pair of stars (upper right).|||||||||||||||||||||||||||||||iot|||||||Mon 30 Mar 2015 17:25:06 GMT +0|Giant Alien Planet Has 4 Suns in Its Sky|||http://ift.tt/1bJFduS|||||||||||||
232|pocket|||||||||March 30, 2015 at 06:26PM|||||||In the opening paragraphs of his astute and accessible explanation of why Indiana?s religious freedom law is unconscionable, Garrett Epps shows why I bristle every time someone tries to hide his or her flagrant prejudice behind God?s grace.|||||||||||||||||||||||||||||||iot|||||||Tue 31 Mar 2015 01:27:21 GMT +0|No freedom from religion for gays in Indiana|||http://ift.tt/1Es0AwU|||||||||||||
233|pocket|||||||||April 02, 2015 at 05:04PM|||||||I banked with Citibank for years. While an employee of Citigroup?s investment bank, I opened consumer bank accounts in 2007 before leaving in 2009.|||||||||||||||||||||||||||||||iot|||||||Fri 3 Apr 2015 00:13:07 GMT +0|Tyranny of the Arbitrators|||http://ift.tt/1MGxkaf|||||||||||||
